id,created_at,updated_at,name,status,gsf_standards_version,estimated_annual_credits,crediting_period_start_date,crediting_period_end_date,methodology,type,size,sustaincert_id
5693,2026-07-15T07:16:08Z,2026-08-05T18:23:25Z,"GS23737- VPA 1- Promoting Regenerative Agricultural Practices for Restoration of Farmlands, Carbon Sequestration and Enhanced Smallholder Livelihood in Maharashtra",LISTED,Gold Standard for the Global Goals,60000,2025-07-08,2030-07-07,,Other,Small Scale,23738
5692,2026-07-15T06:46:47Z,2026-08-05T18:23:25Z,"Promoting Regenerative Agricultural Practices for Restoration of Farmlands, Carbon Sequestration and Enhanced Smallholder Livelihood in India",LISTED,Gold Standard for the Global Goals,60000,2025-07-08,2030-07-07,,Other,Small Scale,23737
5689,2026-07-10T07:40:10Z,2026-09-11T19:10:40Z,GS23733 VPA-1 Solar Pumping for Agricultural Resilience in Egypt (SPARE) ,LISTED,Gold Standard for the Global Goals,55000,2026-03-25,2031-03-24,,PV,Small Scale,23734
5688,2026-07-10T07:13:01Z,2026-09-11T19:11:44Z,Solar Pumping for Agricultural Resilience in Egypt (SPARE),LISTED,Gold Standard for the Global Goals,55000,2026-03-25,2031-03-24,,PV,Small Scale,23733
5684,2026-07-06T09:35:00Z,2026-07-29T07:19:48Z,Data-verified Smart Induction Stove Project in Rwanda,LISTED,Gold Standard for the Global Goals,1633425,2026-06-01,2030-12-31,,Energy Efficiency - Domestic,Large Scale,23730
5675,2026-06-29T13:32:29Z,2026-08-24T05:32:46Z,Rossmann Nicaragua - Reforesting diverse native tree species in East Nicaragua,LISTED,Gold Standard for the Global Goals,7862,2022-09-01,2052-08-31,,A/R,Small Scale,23721
5672,2026-06-26T07:36:53Z,2026-07-17T10:08:45Z,GS23711- Mozambique Off Grid Electrification VPA1,LISTED,Gold Standard for the Global Goals,9000,2026-06-26,2031-06-25,,Other,Micro Scale,23718
5669,2026-06-24T09:27:13Z,2026-09-18T09:44:33Z,"BEEAH RDF Project in Al Sajaa, Sharjah",LISTED,Gold Standard for the Global Goals,6977,2025-12-10,2030-12-09,,Other,Small Scale,23715
5668,2026-06-23T19:18:45Z,2026-09-22T10:24:30Z,SAG Solar Park,LISTED,Gold Standard for the Global Goals,27772,2029-03-15,2034-03-14,,PV,Large Scale,23714
5665,2026-06-22T12:25:58Z,2026-07-15T17:55:36Z,Mozambique Off Grid Electrification (+SOL),LISTED,Gold Standard for the Global Goals,10000,2026-10-01,2031-09-30,,Other,Micro Scale,23711
5664,2026-06-22T11:09:44Z,2026-08-10T13:50:18Z,"Production of Char-Briquettes made from Agricultural Residues, Cambodia",LISTED,Gold Standard for the Global Goals,5100,2027-01-01,2031-12-31,,Energy Efficiency - Domestic,Micro Scale,23710
5663,2026-06-22T10:13:44Z,2026-07-31T09:20:26Z,"Waste to Energy and Fertilizer in the City of Naga, Cebu, Philippines",LISTED,Gold Standard for the Global Goals,50000,2029-01-01,2043-12-31,,Biogas - Electricity,Small Scale,23709
5662,2026-06-22T09:33:23Z,2026-08-17T13:52:33Z,Containerized Anaerobic Digestion for Renewable Energy and Fertilizer – Philippines,LISTED,Gold Standard for the Global Goals,7600,2027-01-01,2041-12-31,,Biogas - Electricity,Micro Scale,23708
5660,2026-06-18T09:15:31Z,2026-07-31T08:33:03Z,GS13139 VPA-1 ETG Live Better Improved Cookstove Project in Kenya,LISTED,Gold Standard for the Global Goals,113500,2025-08-18,2030-08-17,,Energy Efficiency - Domestic,Large Scale,13140
5659,2026-06-18T09:00:46Z,2026-07-31T08:33:03Z,ETG Live Better Improved Cookstove Project in Kenya,LISTED,Gold Standard for the Global Goals,976500,2025-08-18,2030-08-17,,Energy Efficiency - Domestic,Large Scale,13139
5658,2026-06-18T06:23:26Z,2026-09-21T08:32:56Z,MicroEnergy Credits – Integrated Cooking & Space  Heating Carbon Mitigation Program – Bhutan,LISTED,Gold Standard for the Global Goals,100625,2026-06-25,2031-06-24,,Energy Efficiency - Domestic,Small Scale,23706
5655,2026-06-15T06:06:48Z,2026-08-24T05:37:40Z,VPA 1: Kisan Kalpa: Cultivating Sustainable Income Pathways for Farmers,LISTED,Gold Standard for the Global Goals,629,2023-06-23,2063-06-22,,A/R,Micro Scale,23703
5654,2026-06-15T06:00:07Z,2026-08-24T05:37:40Z,Kisan Kalpa: Cultivating Sustainable Income Pathways for Farmers,LISTED,Gold Standard for the Global Goals,60850,2023-06-23,2063-06-22,,A/R,Small Scale,23702
5651,2026-06-11T12:39:53Z,2026-08-21T06:08:31Z,GS10789-GS11673-RVPA-121: Efficient and Clean Cooking for households in Nigeria,LISTED,Gold Standard for the Global Goals,575827,2026-02-22,2031-02-21,,Energy Efficiency - Domestic,Large Scale,23699
5649,2026-06-10T13:15:44Z,2026-09-03T05:30:05Z,GS10789-GS10790--RVPA-102: Efficient and Clean Cooking for households in Malawi,LISTED,Gold Standard for the Global Goals,0,2026-02-22,2031-02-21,,Energy Efficiency - Domestic,Large Scale,23697
5647,2026-06-10T11:53:27Z,2026-07-17T11:01:10Z,Parmakören Solar BESS Project,LISTED,Gold Standard for the Global Goals,62419,2027-01-01,2031-12-31,,Other,Large Scale,23695
5646,2026-06-10T11:43:37Z,2026-08-04T12:54:43Z,GS23692 India Roots Collective-VPA1: Karnataka & Andhra Pradesh Agroforestry & Landscape Restoration,LISTED,Gold Standard for the Global Goals,35000,2022-01-15,2052-01-15,,A/R,Large Scale,23694
5645,2026-06-09T13:34:24Z,2026-09-01T11:36:35Z,Pakistan Low Carbon Rice Programme,LISTED,Gold Standard for the Global Goals,0,2026-05-15,2031-05-14,,Other,Small Scale,23693
5644,2026-06-09T12:15:43Z,2026-08-04T12:54:43Z,India Roots Collective: Community-Led Agroforestry & Landscape Restoration  ,LISTED,Gold Standard for the Global Goals,210000,2022-01-15,2052-01-15,,A/R,Large Scale,23692
5642,2026-06-06T07:05:23Z,2026-07-21T08:00:25Z,VPA1: Incentivizing Rice Farming Communities to Transition to Low-Emissions Agriculture in India,LISTED,Gold Standard for the Global Goals,3355,2025-07-16,2030-07-15,,Other,Small Scale,23690
5641,2026-06-06T06:56:10Z,2026-07-21T08:00:25Z,Incentivizing Rice Farming Communities to Transition to Low-Emissions Agriculture in India,LISTED,Gold Standard for the Global Goals,13420,2025-07-16,2045-07-15,,Other,Small Scale,23689
5640,2026-06-03T13:53:04Z,2026-08-14T11:20:10Z,GHG Emissions Reduction & Sequestration - Afforestation/Reforestation - Future Radici (Emilia Romagna 2),LISTED,Gold Standard for the Global Goals,1433,2026-03-10,2074-11-14,,A/R,Micro Scale,23688
5639,2026-06-03T13:50:21Z,2026-08-14T09:13:17Z,GHG Emissions Reduction & Sequestration - Afforestation/Reforestation - Future Radici (Emilia Romagna 1),LISTED,Gold Standard for the Global Goals,1323,2025-11-03,2074-11-14,,A/R,Micro Scale,23687
5638,2026-06-03T13:26:19Z,2026-08-14T12:15:19Z,GHG Emissions Reduction & Sequestration - Afforestation/Reforestation - Future Radici (Casoni-Cosenza-Calabria),LISTED,Gold Standard for the Global Goals,1429,2025-11-03,2074-11-14,,A/R,Micro Scale,23686
5637,2026-05-29T10:17:48Z,2026-09-11T09:57:08Z,"GS13053-Transforming Coffee Production Systems in Brazil with Agroforestry to Store Carbon, Regenerate Ecosystems, and Improve Farmer Livelihoods in Mantiqueira de Minas",LISTED,Gold Standard for the Global Goals,0,2026-11-17,2056-11-17,,A/R,Small Scale,23685
5636,2026-05-29T09:53:10Z,2026-09-15T06:49:10Z,AWD Methane Reduction Project in Cambodia,LISTED,Gold Standard for the Global Goals,50000,2025-11-15,2030-11-14,,Other,Small Scale,23684
5635,2026-05-29T06:46:22Z,2026-09-09T02:40:40Z,GS 10963 GS 11007 RVA 6 UpEnergy - Social and Climate Impact Programme - Cooking Devices VPA 55,LISTED,Gold Standard for the Global Goals,23429,2026-04-10,2031-04-09,,Energy Efficiency - Domestic,Small Scale,23683
5634,2026-05-29T06:27:40Z,2026-09-09T02:39:52Z,GS 10963 GS 11007 RVPA 6 UpEnergy - Social and Climate Impact Programme - Cooking Devices VPA 54,LISTED,Gold Standard for the Global Goals,23429,2026-04-03,2031-04-02,,Energy Efficiency - Domestic,Small Scale,23682
5632,2026-05-28T10:49:36Z,2026-07-10T16:55:29Z,GS23679-VPA1 Amazi Water Carbon Credit Program in Burundi,LISTED,Gold Standard for the Global Goals,60000,2025-06-27,2030-06-26,,Energy Efficiency - Domestic,Small Scale,23680
5631,2026-05-28T10:45:29Z,2026-07-10T16:55:29Z,Amazi Water Carbon Credit Program in Burundi,LISTED,Gold Standard for the Global Goals,60000,2025-06-27,2030-06-26,,Energy Efficiency - Domestic,Small Scale,23679
5628,2026-05-20T18:29:51Z,2026-06-29T14:33:30Z,Belize Coastal Sargassum Resilience and Circularity Project,LISTED,Gold Standard for the Global Goals,8000,2026-05-20,2031-05-19,,Other,Micro Scale,23676
5625,2026-05-14T08:25:19Z,2026-08-17T12:15:31Z,GS23156-GS13112 RVPA-1 VPA-15 Improved Rice Cultivation in Bangladesh,LISTED,Gold Standard for the Global Goals,60000,2022-10-01,2037-09-30,,Other,Small Scale,23673
5624,2026-05-14T08:21:57Z,2026-08-17T12:15:31Z,GS23156-GS13112 RVPA-1 VPA-14 Improved Rice Cultivation in Bangladesh,LISTED,Gold Standard for the Global Goals,60000,2022-10-01,2037-09-30,,Other,Small Scale,23672
5623,2026-05-14T08:20:15Z,2026-08-17T12:15:31Z,GS23156-GS13112 RVPA-1 VPA-13 Improved Rice Cultivation in Bangladesh,LISTED,Gold Standard for the Global Goals,60000,2022-10-01,2037-09-30,,Other,Small Scale,23671
5622,2026-05-14T08:18:30Z,2026-08-17T12:15:30Z,GS23156-GS13112 RVPA-1 VPA-12 Improved Rice Cultivation in Bangladesh,LISTED,Gold Standard for the Global Goals,60000,2022-10-01,2037-09-30,,Other,Small Scale,23670
5615,2026-05-12T09:07:47Z,2026-08-14T13:27:49Z,GS23662- VPA-1 Industrial Boiler Fuel Switch in Uganda. ,LISTED,Gold Standard for the Global Goals,27948,2025-09-01,2030-08-31,,"Biomass, or Liquid Biofuel - Heat",Small Scale,23663
5614,2026-05-12T09:01:05Z,2026-08-14T13:27:49Z,Industrial Boiler Fuel Switch in Uganda,LISTED,Gold Standard for the Global Goals,30000,2025-09-01,2030-08-31,,"Biomass, or Liquid Biofuel - Heat",Small Scale,23662
5613,2026-05-06T19:18:49Z,2026-06-15T14:09:39Z,GS23659- Ubuzima Clean Water Project,LISTED,Gold Standard for the Global Goals,60000,2025-09-30,2030-09-29,,Energy Efficiency - Domestic,Small Scale,23661
5612,2026-05-06T19:04:59Z,2026-06-15T14:09:39Z,GS23659- Madzi Clean Water Project,LISTED,Gold Standard for the Global Goals,60000,2025-09-01,2030-08-31,,Energy Efficiency - Domestic,Small Scale,23660
5611,2026-05-06T18:52:34Z,2026-06-15T14:09:39Z,Water for People – Clean Water Access Programme in Africa,LISTED,Gold Standard for the Global Goals,60000,2025-09-01,2030-08-31,,Energy Efficiency - Domestic,Small Scale,23659
5610,2026-05-06T06:57:58Z,2026-07-22T07:58:13Z,TDV Safe Water Supply Project – Tanzania,LISTED,Gold Standard for the Global Goals,60875,2025-11-15,2030-11-14,,Energy Efficiency - Domestic,Large Scale,23658
5603,2026-05-06T00:54:36Z,2026-07-21T14:24:46Z,Maldives Captive Solar Photovoltaic Renewable Energy Project – VPA 4,LISTED,Gold Standard for the Global Goals,5000,2025-06-04,2030-06-05,,PV,Small Scale,23651
5602,2026-05-06T00:46:57Z,2026-07-21T14:24:41Z, Maldives Captive Solar Photovoltaic Renewable Energy Project – VPA 3,LISTED,Gold Standard for the Global Goals,5000,2025-05-31,2030-06-01,,PV,Small Scale,23650
5601,2026-05-06T00:44:34Z,2026-07-21T14:24:34Z,Maldives Captive Solar Photovoltaic Renewable Energy Project – VPA 2,LISTED,Gold Standard for the Global Goals,5000,2025-05-26,2030-05-27,,PV,Small Scale,23649
5599,2026-04-26T11:56:12Z,2026-05-25T12:16:43Z,GS23645-VPA-1 Wells of Life: Sustainable Safe Water for Malawi,LISTED,Gold Standard for the Global Goals,30000,2026-01-01,2030-12-31,,Energy Efficiency - Domestic,Small Scale,23647
5597,2026-04-22T13:34:16Z,2026-05-15T08:27:02Z,EOS Climate – High-Integrity Climate & Social Impact Programme,LISTED,Gold Standard for the Global Goals,60000,2026-01-01,2030-12-31,,Energy Efficiency - Domestic,Small Scale,23645
5586,2026-04-22T08:49:46Z,2026-09-21T03:58:26Z,GS23301 GS23422 RVPA-2 Rwanda Safe Water Filter Project by SPOUTS,GOLD_STANDARD_CERTIFIED_DESIGN,Gold Standard for the Global Goals,59000,2025-11-20,2030-11-19,,Energy Efficiency - Domestic,Small Scale,23634
5585,2026-04-22T08:45:25Z,2026-09-21T03:58:26Z,GS23301 GS23422 RVPA-1 Rwanda Safe Water Filter Project by SPOUTS,GOLD_STANDARD_CERTIFIED_DESIGN,Gold Standard for the Global Goals,59000,2025-07-15,2030-07-14,,Energy Efficiency - Domestic,Small Scale,23633
5582,2026-04-18T07:57:23Z,2026-07-29T11:35:24Z,GS12980-GS12981-OYU - Clean Water for Future Leaders,LISTED,Gold Standard for the Global Goals,48461,2025-05-15,2030-05-14,,Energy Efficiency - Domestic,Small Scale,23630
5581,2026-04-18T07:55:29Z,2026-08-28T13:28:47Z,GS23168-GS23169-OYU - Clean Water for Malawian Communities,LISTED,Gold Standard for the Global Goals,0,2025-05-15,2030-05-14,,Energy Efficiency - Domestic,Large Scale,23629
5580,2026-04-18T07:53:10Z,2026-07-21T12:34:54Z,GS13086 GS13087 RVPA1Oyu - Fuelling a Brighter Future in Tanzania,LISTED,Gold Standard for the Global Goals,89461,2025-05-14,2030-05-13,,Energy Efficiency - Domestic,Large Scale,23628
5579,2026-04-18T07:50:29Z,2026-07-21T12:45:24Z,GS12943 GS12944 RVPA1 Oyu - Building Sustainable Nigerian Communities VPA02,LISTED,Gold Standard for the Global Goals,198020,2025-05-13,2030-05-12,,Energy Efficiency - Domestic,Large Scale,13004
5578,2026-04-17T14:18:18Z,2026-05-25T08:56:19Z,Matafongo Solar Park,LISTED,Gold Standard for the Global Goals,80000,2028-01-16,2033-01-15,,PV,Large Scale,23627
5577,2026-04-17T13:55:48Z,2026-05-27T07:53:48Z,Los Granadillos Wind Park,LISTED,Gold Standard for the Global Goals,104000,2028-03-15,2033-03-14,,Wind,Large Scale,23626
5575,2026-04-10T08:22:30Z,2026-09-11T16:17:52Z,TerraClear Safe Drinking Water in Laos 💦 ,LISTED,Gold Standard for the Global Goals,60000,2025-09-01,2030-08-31,,Other,Small Scale,23624
5570,2026-04-08T08:15:04Z,2026-08-24T05:09:47Z,US SecondCrop Microbial Carbon Removal (USSC25),LISTED,Gold Standard for the Global Goals,32371,2025-05-01,2030-05-31,,Other,Small Scale,23621
5569,2026-04-08T06:38:53Z,2026-05-19T17:09:19Z,KPC Arakan 1 Project,LISTED,Gold Standard for the Global Goals,130000,2025-01-14,2065-01-13,,A/R,Large Scale,23620
5565,2026-04-02T09:01:30Z,2026-09-16T08:58:11Z,GS23612- VPA-1 - Transition to electric vehicles in Thailand,LISTED,Gold Standard for the Global Goals,60000,2025-12-09,2040-12-08,,Energy Efficiency - Transport Sector,Small Scale,23616
5564,2026-04-02T08:57:29Z,2026-09-16T08:58:04Z,GS23612- VPA-1 - Energy efficient street lighting in Thailand,LISTED,Gold Standard for the Global Goals,0,2025-12-09,2040-12-08,,Energy Efficiency - Public Sector,Small Scale,23615
5563,2026-04-02T08:50:05Z,2026-09-16T08:57:58Z,GS23612 - VPA-1 - Energy efficiency retrofits for buildings in Thailand,LISTED,Gold Standard for the Global Goals,24000,2025-12-09,2040-12-08,,Energy Efficiency - Domestic,Large Scale,23614
5562,2026-04-02T08:40:34Z,2026-09-16T08:57:51Z,GS23612 - VPA-1 - Renewable energy generation through solar photovoltaic in Thailand,LISTED,Gold Standard for the Global Goals,8030,2025-12-09,2040-12-08,,PV,Small Scale,23613
5561,2026-04-02T08:28:23Z,2026-09-16T08:57:50Z,Low Carbon Cities and Carbon Market Development Project,LISTED,Gold Standard for the Global Goals,8030,2025-12-09,2045-12-08,,Energy Efficiency - Domestic,Large Scale,23612
5559,2026-04-01T12:51:56Z,2026-09-01T13:29:02Z,Solar Electric Cooking Systems for Schools and Other Institutions in Tanzania,LISTED,Gold Standard for the Global Goals,5000,2026-01-01,2030-12-31,,Biogas - Electricity,Micro Scale,11727
5557,2026-03-30T09:43:03Z,2026-08-19T15:57:06Z,Hybrid BESS Project in Karnataka by Solarcraft Power India 16 Private Limited,LISTED,Gold Standard for the Global Goals,673803,2026-11-09,2031-11-08,,Other,Large Scale,23609
5550,2026-03-23T12:32:49Z,2026-07-02T16:13:24Z,FDRE Solar BESS project by ACME Sun Power Pvt. Ltd. in Rajasthan,LISTED,Gold Standard for the Global Goals,721705,2026-12-31,2031-12-30,,Other,Large Scale,23603
5549,2026-03-23T12:27:45Z,2026-07-02T16:21:11Z,FDRE Solar BESS project by ACME Surya Power Pvt. Ltd. in Rajasthan,LISTED,Gold Standard for the Global Goals,563832,2027-01-20,2032-01-19,,Other,Large Scale,23602
5548,2026-03-23T12:22:09Z,2026-07-02T16:31:51Z,400MW FDRE Solar BESS project by ACME in Rajasthan,LISTED,Gold Standard for the Global Goals,867138,2027-06-30,2032-06-29,,Other,Large Scale,23601
5542,2026-03-18T17:47:44Z,2026-07-06T09:19:19Z,GS23596-VPA-2 Wonder Stove Improved Charcoal Cookstoves Programme-Senegal,LISTED,Gold Standard for the Global Goals,150000,2026-09-01,2031-08-31,,Energy Efficiency - Domestic,Large Scale,23598
5541,2026-03-18T17:45:49Z,2026-07-06T09:18:57Z,GS23596-VPA-1 Wonder Stove Improved Wood Cookstoves Programme-Senegal,LISTED,Gold Standard for the Global Goals,120000,2026-09-01,2031-08-31,,Energy Efficiency - Domestic,Large Scale,23597
5540,2026-03-18T17:40:30Z,2026-07-06T09:18:38Z,PoA Westwind Wonder Stoves Carbon Initiative,LISTED,Gold Standard for the Global Goals,0,2026-09-01,2031-08-31,,Energy Efficiency - Domestic,Large Scale,23596
5539,2026-03-18T07:43:18Z,2026-07-29T09:50:54Z,GS10789-GS10790-RVPA-92: Efficient and Clean Cooking for households in Zambia,LISTED,Gold Standard for the Global Goals,190572,2026-07-01,2031-06-30,,Energy Efficiency - Domestic,Large Scale,23595
5537,2026-03-16T14:01:25Z,2026-06-10T10:20:12Z,Büyükkışla WPP Project with BESS ,LISTED,Gold Standard for the Global Goals,218501,2026-11-10,2041-11-09,,Wind,Large Scale,23593
5535,2026-03-11T07:14:58Z,2026-05-29T15:49:52Z,GS10789-GS10790-RVPA-91: Efficient and Clean Cooking for households in Zambia,LISTED,Gold Standard for the Global Goals,12890,2024-04-24,2030-04-23,,Energy Efficiency - Domestic,Large Scale,23591
5534,2026-03-10T21:07:52Z,2026-05-18T15:11:29Z,Proactiva CGA Iperó Landfill Gas to Energy Project,LISTED,Gold Standard for the Global Goals,214253,2021-09-01,2026-08-31,,Other,Large Scale,23590
5530,2026-03-06T13:33:45Z,2026-09-14T11:54:39Z,GS10789-GS10790-RVPA-106: Efficient and Clean Cooking for households in Malawi,LISTED,Gold Standard for the Global Goals,2653,2024-12-12,2029-12-11,,Energy Efficiency - Domestic,Large Scale,23586
5529,2026-03-05T18:41:12Z,2026-08-20T12:54:59Z,Vinasse Waste Management - Biogas Application,LISTED,Gold Standard for the Global Goals,77796,2025-07-26,2030-07-25,,"Biomass, or Liquid Biofuel - Cogeneration",Large Scale,23585
5527,2026-03-05T05:37:44Z,2026-08-26T07:25:45Z,GS13131-GS13132-RVPA1 Sow & Reap Agro Pvt Ltd Clean Cooking Programme in India,LISTED,Gold Standard for the Global Goals,30000,2025-08-09,2030-08-08,,Biogas - Heat,Small Scale,23583
5526,2026-03-02T22:34:34Z,2026-05-26T13:53:38Z,CGR Guatapara Landfill Project,LISTED,Gold Standard for the Global Goals,335002,2019-07-18,2024-07-17,,Other,Large Scale,23582
5518,2026-02-26T05:51:22Z,2026-03-26T08:13:06Z,GS12856-VPA-3 Unlocking Communities Water Filters for Households,LISTED,Gold Standard for the Global Goals,60000,2026-04-15,2031-04-14,,Energy Efficiency - Domestic,Large Scale,23574
5517,2026-02-26T05:48:24Z,2026-09-21T13:32:11Z,GS12856-VPA-2 Unlocking Communities Water Filters for Institutions,LISTED,Gold Standard for the Global Goals,60000,2023-12-15,2028-12-14,,Energy Efficiency - Domestic,Small Scale,23573
5516,2026-02-25T10:10:02Z,2026-04-16T09:42:35Z,GS23562- VPA 1 The Future of Cooking in Zambia,LISTED,Gold Standard for the Global Goals,0,2026-04-01,2031-03-31,,Biogas - Heat,Large Scale,23572
5513,2026-02-20T04:47:35Z,2026-07-22T14:40:05Z,GS10963-UpEnergy -Social and Climate Impact Programme -Safe Water Drinking Programme- VPA 56,LISTED,Gold Standard for the Global Goals,40000,2026-04-01,2031-03-31,,Energy Efficiency - Domestic,Small Scale,23569
5511,2026-02-18T10:46:51Z,2026-06-01T10:40:29Z,Nestlé & FNC Tree Planting Colombia,LISTED,Gold Standard for the Global Goals,64861,2022-07-09,2027-07-08,,A/R,Large Scale,23567
5506,2026-02-14T17:56:27Z,2026-04-27T18:40:41Z,The Future of Cooking in Emerging Countries,LISTED,Gold Standard for the Global Goals,0,2026-04-01,2031-03-31,,Energy Efficiency - Domestic,Large Scale,23562
5504,2026-02-10T11:37:45Z,2026-03-30T15:46:26Z,Kuphatana - Acções Inclusivas para Florestas Sustentáveis ​​em Moçambique,LISTED,Gold Standard for the Global Goals,8925,2025-12-19,2065-12-18,,A/R,Small Scale,23560
5503,2026-02-09T20:02:16Z,2026-04-27T12:05:52Z,IRIBA Water Access Program in Rwanda ,LISTED,Gold Standard for the Global Goals,60000,2025-09-12,2030-09-11,,Energy Efficiency - Domestic,Small Scale,23559
5499,2026-02-06T05:19:14Z,2026-09-21T02:27:24Z,GS12856-VPA-1 Unlocking Communities High Efficiency Charcoal Cookstove for Households,LISTED,Gold Standard for the Global Goals,60000,2023-08-01,2028-07-31,,Energy Efficiency - Domestic,Large Scale,23557
5498,2026-02-05T10:41:50Z,2026-08-13T09:15:49Z,GS12239-GS12240- RVPA-2 Amazi Meza Rwanda Water Supply Project For Schools,GOLD_STANDARD_CERTIFIED_DESIGN,Gold Standard for the Global Goals,60000,2025-03-03,2030-03-02,,Energy Efficiency - Domestic,Small Scale,23556
5494,2026-02-04T14:01:31Z,2026-05-20T15:54:02Z,GS23548-VPA-3 d.light Clean Energy Access Programme-Madagascar,LISTED,Gold Standard for the Global Goals,60000,2025-08-20,2030-08-19,,Energy Efficiency - Domestic,Small Scale,23552
5493,2026-02-04T13:56:36Z,2026-09-03T07:47:40Z,GS23548-VPA-2 d.light Clean Energy Access Programme-Tanzania,LISTED,Gold Standard for the Global Goals,60000,2024-07-01,2029-06-30,,Energy Efficiency - Domestic,Small Scale,23551
5492,2026-02-04T12:23:21Z,2026-09-03T07:49:40Z,GS23548-GS23549-RVPA-1 d.light Clean Energy Access Programme-Nigeria,LISTED,Gold Standard for the Global Goals,60000,2025-08-08,2030-08-07,,Energy Efficiency - Domestic,Small Scale,23550
5491,2026-02-04T12:16:41Z,2026-09-03T07:45:36Z,GS23548-VPA-1 d.light Clean Energy Access Programme-Nigeria,LISTED,Gold Standard for the Global Goals,60000,2024-07-01,2029-06-30,,Energy Efficiency - Domestic,Small Scale,23549
5490,2026-02-04T12:12:34Z,2026-09-03T07:45:36Z,d.light Clean Energy Access Programme - Africa,LISTED,Gold Standard for the Global Goals,0,2024-07-01,2029-06-30,,Energy Efficiency - Domestic,Small Scale,23548
5489,2026-02-03T11:33:26Z,2026-09-16T09:20:37Z,GS13044 GS13045 RVPA-1 Kenya LifeStraw Give Back Program,LISTED,Gold Standard for the Global Goals,60000,2025-02-05,2030-02-04,,Energy Efficiency - Domestic,Small Scale,13098
5476,2026-01-27T15:52:43Z,2026-06-03T09:56:45Z,QSHM Cork Oak Afforestation 2026,LISTED,Gold Standard for the Global Goals,0,2027-06-30,2077-07-01,,A/R,Small Scale,23536
5475,2026-01-26T18:51:43Z,2026-05-12T17:30:11Z,Proyecto Forestal Los Tualdos,LISTED,Gold Standard for the Global Goals,3524,2025-06-12,2055-06-13,,A/R,Small Scale,23535
5474,2026-01-26T04:29:02Z,2026-03-12T05:40:31Z,Biogas for Households (FIT-B4H),LISTED,Gold Standard for the Global Goals,55000,2025-02-02,2030-02-01,,Biogas - Heat,Small Scale,23534
5473,2026-01-24T09:39:33Z,2026-05-20T10:09:56Z,GS23532-Water for the Planet Initiative - VPA - 001,LISTED,Gold Standard for the Global Goals,52635,2026-04-15,2031-04-14,,Energy Efficiency - Domestic,Small Scale,23533
5472,2026-01-24T09:23:52Z,2026-05-20T11:32:32Z,Water for the Planet Initiative,LISTED,Gold Standard for the Global Goals,52635,2026-04-15,2031-04-14,,Energy Efficiency - Domestic,Small Scale,23532
